0x97410F58 ; ror7.WriteProcessMemory
0x95CE2BEE ; ror7.NtOpenFile
0xAC2EDA02 ; ror7.NtCreateSection
0x92DD00B3 ; ror7.NtMapViewOfSection
0x30FFEC5E ; ror7.getpeername
0x9AAFD680 ; ror7.URLDownloadToFileA
0xE25F97AF ; ror7.URLDownloadToCacheFile

# ror 0xD hashs (metasploit uses this style)
0x60E0CEEF ; rorD.ExitThread
0xEC0E4E8E ; rorD.LoadLibraryA
0x91AFCA54 ; rorD.VirtualAlloc
0x7C0DFCAA ; rorD.GetProcAddress
0x16B3FE72 ; rorD.CreateProcessA
0xCE05D9AD ; rorD.WaitForSingleObject
0x7C0017A5 ; rorD.CreateFileA
0xE80A791F ; rorD.WriteFile
0x0FFD97FB ; rorD.CloseHandle
0x0E8AFE98 ; rorD.WinExec
0x73E2D87E ; rorD.ExitProcess
0x0FFD97FB ; rorD.CloseHandle
0xE9238AD9 ; rorD._hwrite
0xDD1A4C5B ; rorD._lclose
0xE88A49EA ; rorD._lcreat
0x612EDC9E ; rorD._lopen
0x670ED9D4 ; rorD._lread
0xE9238ADB ; rorD._lwrite
0xE71819B6 ; rorD.recv
0xE97019A4 ; rorD.send
0x498649E5 ; rorD.accept
0xC7701AA4 ; rorD.bind
0xE92EADA4 ; rorD.listen
0xADF509D9 ; rorD.WSASocketA
0x3BFCEDCB ; rorD.WSAStartup
0xE71819B6 ; rorD.recv
0xE97019A4 ; rorD.send
0x60AAF9EC ; rorD.connect
0x030633AC ; rorD.VirtualFree
0xA3C8C8AA ; rorD.VirtualQuery
0x7946C61B ; rorD.VirtualProtect
0xD83D6AA1 ; rorD.WriteProcessMemory
0x852974B8 ; rorD.NtOpenFile
0x5BB29BCB ; rorD.NtCreateSection
0xD5159B94 ; rorD.NtMapViewOfSection
0x95066EF2 ; rorD.getpeername
0x702F1A36 ; rorD.URLDownloadToFileA
0xD3324904 ; rorD.GetModuleHandleA
0x5B8ACA33 ; rorD.GetTempPathA
0xDF7D9BAD ; rorD.GetFileSize
0x78B5B983 ; rorD.TerminateProcess
0x7C0017BB ; rorD.CreateFileW
0x76DA08AC ; rorD.SetFilePointer
0x10FA6516 ; rorD.ReadFile
0x36EF7370 ; rorD.GetCommandLineA
0x45B06D76 ; rorD.GetModuleFileNameA
0x0753A4FC ; rorD.LoadLibraryExA
0xFDE1C0A9 ; rorD.URLDownloadToCacheFile

# ror 9 hashs
